airport_icao,airport_iata,airport_name,airport_city,country_code,match_status,country_name
ESIB,,Såtenäs Air Base,Såtenäs,SE,Matched,Sweden
ESKK,KSK,Karlskoga Airport,Karlskoga,SE,Matched,Sweden
ESKM,MXX,Mora Airport,Mora,SE,Matched,Sweden
ESKN,NYO,Stockholm Skavsta Airport,Nyköping,SE,Matched,Sweden
ESKS,SCR,Scandinavian Mountains Airport,Malung-Sälen,SE,Matched,Sweden
ESMK,KID,Kristianstad Airport,Kristianstad,SE,Matched,Sweden
ESMQ,KLR,Kalmar Airport,Kalmar,SE,Matched,Sweden
ESMS,MMX,Malmö Sturup Airport,Malmö,SE,Matched,Sweden
ESMT,HAD,Halmstad Airport,Halmstad,SE,Matched,Sweden
ESMX,VXO,Växjö Kronoberg Airport,Växjö,SE,Matched,Sweden
ESNK,KRF,Kramfors-Sollefteå Höga Kusten Airport,Nyland,SE,Matched,Sweden
ESNL,LYC,Lycksele Airport,Lycksele,SE,Matched,Sweden
ESNN,SDL,Sundsvall-Härnösand Airport,Sundsvall/ Härnösand,SE,Matched,Sweden
ESNO,OER,Örnsköldsvik Airport,Örnsköldsvik,SE,Matched,Sweden
ESNS,SFT,Skellefteå Airport,Skellefteå,SE,Matched,Sweden
ESNU,UME,Umeå Airport,Umeå,SE,Matched,Sweden
ESNV,VHM,Vilhelmina South Lapland Airport,Vilhelmina,SE,Matched,Sweden
ESNX,AJR,Arvidsjaur Airport,Arvidsjaur,SE,Matched,Sweden
ESNY,SOO,Söderhamn Airport,Söderhamn,SE,Matched,Sweden
ESNZ,OSD,Åre Östersund Airport,Östersund,SE,Matched,Sweden
